curso,modalidad,fecha,hora_inicio,hora_fin
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,27/07/2026,09:00,11:30
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,27/07/2026,12:00,14:30
CANVAS 3. GRUPOS (EQUIPOS).,A distancia,27/07/2026,14:30,19:00
CANVAS 4. RÚBRICAS.,A distancia,28/07/2026,09:00,11:30
CANVAS 5. FOROS DE DISCUSIÓN.,A distancia,28/07/2026,12:00,14:30
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,28/07/2026,16:30,19:00
CANVAS 7. INDUCCIÓN PARA DOCENTES (MATERIA EN LÍNEA).,A distancia,29/07/2026,9:00,11:30
CANVAS 7. INDUCCIÓN PARA DOCENTES (MATERIA EN LÍNEA).,A distancia,29/07/2026,16:30,19:00
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,30/07/2026,09:00,11:30
CANVAS 3. GRUPOS (EQUIPOS).,A distancia,30/07/2026,11:30,14:00
CANVAS 4. RÚBRICAS.,A distancia,30/07/2026,16:30,19:00
CANVAS 5. FOROS DE DISCUSIÓN.,A distancia,31/07/2026,09:00,11:30
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,31/07/2026,11:30,14:00
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,31/07/2026,16:30,19:00
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,03/08/2026,09:00,11:30
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,03/08/2026,16:30,19:00
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,04/08/2026,09:00,11:30
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,04/08/2026,16:30,19:00
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,05/08/2026,09:00,11:30
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,05/08/2026,16:30,19:00
CANVAS 3. GRUPOS (EQUIPOS).,A distancia,06/08/2026,09:00,11:30
CANVAS 3. GRUPOS (EQUIPOS).,A distancia,06/08/2026,16:30,19:00
CANVAS 4. RÚBRICAS.,A distancia,07/08/2026,09:00,11:30
CANVAS 4. RÚBRICAS.,A distancia,07/08/2026,16:30,19:00
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,10/08/2026,09:00,11:30
CANVAS 1. INTRODUCCIÓN Y APUNTES.,A distancia,10/08/2026,16:30,19:00
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,11/08/2026,09:00,11:30
CANVAS 2. TAREAS Y SPEEDGRADER.,A distancia,11/08/2026,16:30,19:00
CANVAS 3. GRUPOS (EQUIPOS).,A distancia,12/08/2026,09:00,11:30
CANVAS 3. GRUPOS (EQUIPOS).,A distancia,12/08/2026,16:30,19:00
CANVAS 4. RÚBRICAS.,A distancia,13/08/2026,09:00,11:30
CANVAS 4. RÚBRICAS.,A distancia,13/08/2026,16:30,19:00
CANVAS 5. FOROS DE DISCUSIÓN.,A distancia,14/08/2026,09:00,11:30
CANVAS 5. FOROS DE DISCUSIÓN.,A distancia,14/08/2026,16:30,19:00
CANVAS 6. EXÁMENES Y SPEEDGRADER.,A distancia,25/08/2026,09:00,12:00
CANVAS 6. EXÁMENES Y SPEEDGRADER.,A distancia,26/08/2026,16:00,19:00
CANVAS 6. EXÁMENES Y SPEEDGRADER.,A distancia,02/09/2026,09:00,12:00
CANVAS 6. EXÁMENES Y SPEEDGRADER.,A distancia,03/09/2026,16:00,19:00
